PROFILE,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24
1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0,0,0,0,0,0
12,0,0,0,0,0,0,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0
14,0,0,0,0,0,0,0,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0,0
15,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0
16,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
17,0,0,0,0,0,0,0,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
18,0,0,0,0,0,0,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556
19,0,0,0,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0,0
20,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
21,0,0,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0
22,0,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0
23,0,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261
24,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
25,0,0,0,0,0,0.008503401,0.025410164,0.050820328,0.076330532,0.084733894,0.084733894,0.084733894,0.084733894,0.084733894,0.084733894,0.084733894,0.084733894,0.076330532,0.050820328,0.025410164,0.008503401,0,0,0
26,0.01979802,0.01859814,0.01819818,0.01869813,0.0209979,0.0249975,0.03109689,0.03879612,0.04669533,0.052794721,0.057094291,0.060393961,0.061993801,0.063093691,0.063493651,0.062393761,0.059394061,0.054794521,0.053094691,0.050894911,0.04249575,0.03269673,0.02569743,0.02179782
27,0,0,0,0,0,0,0,0.01,0.03,0.061,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.091,0.061,0.03,0.01,0,0,0
31,0.040291942,0.039792042,0.039492102,0.039392122,0.039792042,0.040291942,0.040791842,0.041291742,0.041691662,0.041791642,0.042191562,0.042391522,0.042691462,0.043291342,0.043291342,0.043291342,0.043191362,0.042891422,0.042791442,0.042591482,0.042391522,0.041991602,0.041491702,0.040891822
32,0.03609639,0.03449655,0.03339666,0.03319668,0.03419658,0.03589641,0.03859614,0.04179582,0.04359564,0.04469553,0.04519548,0.04559544,0.04579542,0.0459954,0.04609539,0.04619538,0.0459954,0.04559544,0.04509549,0.04519548,0.04469553,0.04329567,0.04089591,0.03839616
33,0.032406481,0.030006001,0.028805761,0.028405681,0.029205841,0.031606321,0.035407081,0.040308062,0.043308662,0.045709142,0.047809562,0.048609722,0.049409882,0.049709942,0.050110022,0.050010002,0.049709942,0.048909782,0.047709542,0.047309462,0.046609322,0.044008802,0.039707942,0.035207041
34,0.0288,0.028,0.0272,0.0271,0.0277,0.0299,0.0327,0.0364,0.0406,0.0449,0.049,0.0516,0.0539,0.0546,0.0568,0.057,0.0545,0.0525,0.0495,0.0474,0.0457,0.04,0.0337,0.0305
35,0.021795641,0.019796041,0.018696261,0.018196361,0.018796241,0.021095781,0.025094981,0.031093781,0.038792242,0.046690662,0.052689462,0.056988602,0.060287942,0.061987602,0.063087383,0.063387323,0.062287542,0.059388122,0.054789042,0.053089382,0.050889822,0.042491502,0.032793441,0.025794841
36,0.010967099,0.007976072,0.006979063,0.005982054,0.006979063,0.006979063,0.008973081,0.00997009,0.015952144,0.024925224,0.042871386,0.059820538,0.075772682,0.08773679,0.093718843,0.102691924,0.09670987,0.088733799,0.074775673,0.059820538,0.050847458,0.031904287,0.017946162,0.010967099
37,0,0,0,0,0,0,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.03,0.01,0,0,0,0,0
38,0,0,0,0,0.04002001,0.060030015,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.061530765,0.050025013,0.030015008,0.020010005,0,0
39,0,0,0,0,0,0,0.02,0.03,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.02,0,0,0,0,0
500,0.01933,0.01704,0.02653,0.02193,0.02844,0.04575,0.03448,0.02583,0.02121,0.0251,0.03823,0.05479,0.06085,0.05695,0.06271,0.06184,0.06364,0.07124,0.07172,0.05559,0.05213,0.03881,0.02652,0.01933
501,0.01418,0.01735,0.01896,0.01273,0.01762,0.02649,0.02821,0.02243,0.02918,0.03982,0.07638,0.08592,0.0902,0.06466,0.04473,0.03412,0.0434,0.0503,0.04994,0.06434,0.0716,0.05508,0.02819,0.01418
502,0.0168,0.01395,0.01672,0.01112,0.01255,0.01396,0.01235,0.01875,0.03069,0.05256,0.06946,0.07901,0.08655,0.06121,0.07707,0.04589,0.08038,0.04718,0.06025,0.06256,0.06391,0.03888,0.01139,0.0168
503,0.01422,0.01576,0.01927,0.01628,0.02338,0.04019,0.03664,0.02509,0.0223,0.02923,0.04421,0.05229,0.05809,0.06722,0.08328,0.05669,0.04901,0.04417,0.10143,0.06932,0.0664,0.0317,0.01963,0.01422
504,0.01852,0.01976,0.02475,0.02163,0.03107,0.05089,0.041,0.03048,0.02597,0.02746,0.03943,0.0411,0.04151,0.03511,0.02537,0.01842,0.02881,0.05522,0.1046,0.08973,0.11347,0.0622,0.03498,0.01852
505,0.00967,0.00882,0.01235,0.01065,0.01313,0.02032,0.01913,0.01511,0.01326,0.01804,0.03361,0.06312,0.08105,0.11322,0.12928,0.08626,0.07267,0.07586,0.07701,0.04445,0.04189,0.01911,0.01234,0.00967
506,0.005,0.005,0.005,0.005,0.015,0.025,0.045,0.065,0.065,0.06,0.065,0.075,0.08,0.075,0.055,0.055,0.065,0.06,0.055,0.045,0.04,0.025,0.005,0.005
